Blender 4.3.2 | samples=248 res=1400
=== BUILD golden_chalice ===
RENDER golden_chalice -> /workspace/bot-campus-publish/gold-studio/golden_chalice.png
Blender 4.3.2
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:49.33 | Remaining:00:05.28 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 224/248
Fra:1 Mem:82.39M (Peak 82.39M) | Time:00:52.54 | Remaining:00:01.75 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 240/248
Fra:1 Mem:112.30M (Peak 172.11M) | Time:00:54.18 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Sample 248/248
Fra:1 Mem:112.30M (Peak 172.11M) | Time:00:54.18 | Mem:70.21M, Peak:70.21M | Scene, ViewLayer | Finished
Saved: '/workspace/bot-campus-publish/gold-studio/golden_chalice.png'
Time: 00:54.42 (Saving: 00:00.23)

OK golden_chalice size=1645723
ALL_DONE

Blender quit
