Blender 4.3.2
Fra:1 Mem:84.55M (Peak 84.55M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BrA-0.58
Fra:1 Mem:84.56M (Peak 84.56M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BrB-0.58
Fra:1 Mem:84.59M (Peak 84.59M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BrA0.58
Fra:1 Mem:84.59M (Peak 84.59M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BrB0.58
Fra:1 Mem:84.63M (Peak 84.63M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BrA-0.001
Fra:1 Mem:84.62M (Peak 84.63M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BrB-0.001
Fra:1 Mem:84.64M (Peak 84.64M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BrA0.001
Fra:1 Mem:84.67M (Peak 84.67M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BrB0.001
Fra:1 Mem:84.67M (Peak 84.67M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | HPKing_bg
Fra:1 Mem:84.68M (Peak 84.68M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | HPTower_bg
Fra:1 Mem:84.70M (Peak 84.70M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | HPTower
Fra:1 Mem:84.74M (Peak 84.74M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | HPFence_bg
Fra:1 Mem:84.74M (Peak 84.74M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | HPFence
Fra:1 Mem:84.76M (Peak 84.76M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post0
Fra:1 Mem:84.79M (Peak 84.79M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip0
Fra:1 Mem:84.79M (Peak 84.79M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope0_0.35
Fra:1 Mem:84.80M (Peak 84.80M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope0_0.65
Fra:1 Mem:84.81M (Peak 84.81M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post1
Fra:1 Mem:84.89M (Peak 84.90M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip1
Fra:1 Mem:84.91M (Peak 84.91M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope1_0.35
Fra:1 Mem:84.92M (Peak 84.92M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope1_0.65
Fra:1 Mem:84.95M (Peak 84.95M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope1_0.95
Fra:1 Mem:85.05M (Peak 85.05M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post2
Fra:1 Mem:85.08M (Peak 85.08M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip2
Fra:1 Mem:85.12M (Peak 85.12M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope2_0.65
Fra:1 Mem:85.12M (Peak 85.12M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope2_0.95
Fra:1 Mem:85.18M (Peak 85.18M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope2_0.35
Fra:1 Mem:85.20M (Peak 85.20M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip3
Fra:1 Mem:85.23M (Peak 85.23M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope3_0.35
Fra:1 Mem:85.24M (Peak 85.24M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope3_0.65
Fra:1 Mem:85.26M (Peak 85.26M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope3_0.95
Fra:1 Mem:85.39M (Peak 85.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post4
Fra:1 Mem:85.39M (Peak 85.39M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip4
Fra:1 Mem:85.41M (Peak 85.41M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope4_0.35
Fra:1 Mem:85.42M (Peak 85.42M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope4_0.65
Fra:1 Mem:85.42M (Peak 85.42M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope4_0.95
Fra:1 Mem:85.47M (Peak 85.47M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post5
Fra:1 Mem:85.53M (Peak 85.53M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip5
Fra:1 Mem:85.53M (Peak 85.53M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope5_0.35
Fra:1 Mem:85.54M (Peak 85.54M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope5_0.65
Fra:1 Mem:85.54M (Peak 85.54M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rope5_0.95
Fra:1 Mem:85.67M (Peak 85.67M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post6
