Blender 4.3.2
Fra:1 Mem:35.46M (Peak 35.46M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword18
Fra:1 Mem:35.46M (Peak 35.46M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick14
Fra:1 Mem:35.47M (Peak 35.47M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post15
Fra:1 Mem:35.47M (Peak 35.47M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor18
Fra:1 Mem:35.50M (Peak 35.50M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick15
Fra:1 Mem:35.50M (Peak 35.50M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm18
Fra:1 Mem:35.51M (Peak 35.51M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail0_0.35
Fra:1 Mem:35.55M (Peak 35.55M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail0_0.7
Fra:1 Mem:35.58M (Peak 35.58M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail1_0.35
Fra:1 Mem:35.57M (Peak 35.58M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead18
Fra:1 Mem:35.61M (Peak 35.61M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail1_0.7
Fra:1 Mem:35.64M (Peak 35.64M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail2_0.35
Fra:1 Mem:35.65M (Peak 35.65M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody18
