Blender 4.3.2
Fra:1 Mem:66.90M (Peak 66.90M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail2_0.95
Fra:1 Mem:66.92M (Peak 66.92M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail3_0.35
Fra:1 Mem:66.95M (Peak 66.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail3_0.65
Fra:1 Mem:66.97M (Peak 66.97M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail3_0.95
Fra:1 Mem:66.97M (Peak 66.97M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail4_0.35
Fra:1 Mem:66.99M (Peak 66.99M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail4_0.65
Fra:1 Mem:67.00M (Peak 67.00M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail4_0.95
Fra:1 Mem:67.03M (Peak 67.03M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail5_0.35
Fra:1 Mem:67.05M (Peak 67.05M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail5_0.65
Fra:1 Mem:67.08M (Peak 67.08M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail5_0.95
Fra:1 Mem:67.09M (Peak 67.09M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail6_0.35
Fra:1 Mem:67.10M (Peak 67.10M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail6_0.65
Fra:1 Mem:67.12M (Peak 67.12M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail6_0.95
Fra:1 Mem:67.16M (Peak 67.16M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail7_0.35
Fra:1 Mem:67.16M (Peak 67.16M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail7_0.65
Fra:1 Mem:67.18M (Peak 67.18M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail7_0.95
Fra:1 Mem:67.19M (Peak 67.19M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail12_0.35
Fra:1 Mem:67.25M (Peak 67.25M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail12_0.65
Fra:1 Mem:67.24M (Peak 67.25M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail13_0.35
Fra:1 Mem:67.25M (Peak 67.25M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail13_0.65
Fra:1 Mem:67.31M (Peak 67.31M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail13_0.95
Fra:1 Mem:67.33M (Peak 67.33M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail14_0.35
Fra:1 Mem:67.33M (Peak 67.33M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail14_0.95
Fra:1 Mem:67.37M (Peak 67.37M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail15_0.35
Fra:1 Mem:67.41M (Peak 67.41M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail15_0.95
Fra:1 Mem:67.42M (Peak 67.42M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail16_0.35
Fra:1 Mem:67.47M (Peak 67.47M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail16_0.95
Fra:1 Mem:67.50M (Peak 67.50M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail17_0.35
Fra:1 Mem:67.51M (Peak 67.51M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail17_0.65
Fra:1 Mem:67.53M (Peak 67.53M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail17_0.95
Fra:1 Mem:67.54M (Peak 67.54M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail18_0.65
Fra:1 Mem:67.55M (Peak 67.55M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail18_0.95
Fra:1 Mem:67.59M (Peak 67.59M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail19_0.35
Fra:1 Mem:67.62M (Peak 67.62M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail19_0.65
Fra:1 Mem:67.63M (Peak 67.63M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail19_0.95
Fra:1 Mem:67.67M (Peak 67.67M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leg-0.55_-0.55
Fra:1 Mem:67.70M (Peak 67.70M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | XB-0.55_-0.55
Fra:1 Mem:67.70M (Peak 67.70M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leg0.55_-0.55
Fra:1 Mem:67.72M (Peak 67.72M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leg-0.55_0.55
Fra:1 Mem:67.74M (Peak 67.74M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | XB-0.55_0.55
Fra:1 Mem:67.83M (Peak 67.83M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Deck
Fra:1 Mem:67.83M (Peak 67.83M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Plank-2
Fra:1 Mem:67.91M (Peak 67.91M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Plank-1
Fra:1 Mem:67.92M (Peak 67.92M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Plank1
Fra:1 Mem:67.98M (Peak 67.98M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Plank2
Fra:1 Mem:67.98M (Peak 67.98M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | RailN
Fra:1 Mem:68.04M (Peak 68.04M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | RPN-0.4
Fra:1 Mem:68.05M (Peak 68.05M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | RPN0.4
Fra:1 Mem:68.07M (Peak 68.07M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | RailS
Fra:1 Mem:68.09M (Peak 68.09M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | RPS-0.4
Fra:1 Mem:68.11M (Peak 68.11M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | RPS0.4
Fra:1 Mem:68.16M (Peak 68.16M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | RailE
Fra:1 Mem:68.17M (Peak 68.17M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | RailW
Fra:1 Mem:68.22M (Peak 68.22M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lad0
